鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南區,房地(土地+建物)+車位,臺中市南區五權南路２００號八樓之１,10.39,都市：其他:第二種住宅區,,,1101006,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970730,119.28999999999999,2,1,1,有,有,10500000,88021,坡道平面,31.97,0,,RPSPMLTJJIGGFAB67DA,51.51,7.42,0.0,有,
北屯區,房地(土地+建物),臺中市北屯區太和一街６０號,122.28,都市：其他:第一種住宅區,,,1100805,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090717,267.05,5,3,6,有,無,33000000,123572,,0.0,0,一樓有停車空間。,RPRNMLQJRHGGFBB87DA,238.74,28.31,0.0,有,
中區,房地(土地+建物),臺中市中區大誠街３９巷２－７－２１號,6.31,,,,1101103,土地1建物2車位0,七層,七層,華廈(10層含以下有電梯),住家用,見其他登記事項,0610201,39.0,2,0,2,有,有,1980000,50769,,0.0,0,,RPOOMLMKJIGGFAB56DA,39.0,0.0,0.0,有,0162
西區,房地(土地+建物),臺中市西區五權西六街１６１號,72.0,都市：其他:第二種住宅區,,,1100928,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1091213,252.83,8,2,9,有,無,31580000,124906,,0.0,0,,RPSOMLMKJIGGFAB96DA,224.05,28.78,0.0,有,
東區,房地(土地+建物)+車位,臺中市東區自強街３－５號６樓,39.9,都市：其他:第二種住宅區,,,1100917,土地2建物2車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850607,296.39,5,2,4,有,無,10000000,33739,升降機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNKJIGGFAB66DA,163.88,34.66,0.0,有,
西區,房地(土地+建物),臺中市西區三民西路１９７號,38.0,都市：其他:第一種商業區,,,1101004,土地2建物1車位0,全,二層,透天厝,商業用,鐵筋加強磚造,0600421,59.4,4,2,2,有,無,5000000,84175,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNKJIGGFAB86DA,59.4,0.0,0.0,無,
南區,房地(土地+建物)+車位,臺中市南區復興路二段１０６之１號,26.73,都市：其他:第一種商業區,,,1101015,土地2建物1車位1,一層，騎樓，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1061122,192.94,0,0,1,有,有,18000000,99206,坡道平面,26.62,1500000,,RPPNMLPKJIGGFAB86DA,123.6,0.0,0.0,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段３５０號九樓之２,34.44,都市：其他:第二種住宅區,,,1100927,土地1建物1車位2,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011109,212.62,4,2,2,有,有,17900000,93626,坡道機械,40.66,1800000,,RPSSMLRLRHGGFBB78DA,104.74,17.25,0.0,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區柳陽西街９３巷１０號１５樓,14.17,都市：其他:第二種住宅區,,,1100929,土地1建物1車位1,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840814,130.31,4,2,1,有,有,7500000,57555,坡道平面,0.0,1000000,,RPQWMLTLRHGGFBB56DA,73.22,9.91,0.0,有,
北區,房地(土地+建物),臺中市北區梅川西路三段３２巷３５號,63.0,都市：其他:第二種住宅區,,,1100928,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0731020,96.72,4,2,1,有,無,15300000,158189,,0.0,0,頂樓加蓋；其他增建；,RPXOMLOJIIGGFBB57DA,84.7,12.02,0.0,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區昌平東五路１６８號,98.47,都市：其他:第二種住宅區,,,1101015,土地2建物1車位1,全,五層,透天厝,其他,鋼筋混凝土造,0941122,322.78,5,2,3,有,無,31500000,97590,坡道平面,0.0,0,陽台外推；其他增建；,RPRPMLKLIIGGFBB86DA,281.45,37.24,0.0,無,
北區,房地(土地+建物),臺中市北區中清路一段２７７之１０號,4.24,都市：其他:第一種商業區,,,1100922,土地5建物1車位0,四層,八層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700603,25.53,1,1,1,有,無,910000,35644,,0.0,0,,RPRVMLOKIIGGFBB77DA,25.53,0.0,0.0,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路三段６９９號二十一樓之６,22.52,都市：其他:第二種商業區,,,1100914,土地1建物1車位2,二十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021226,261.79,3,2,2,有,有,28880000,110317,坡道平面,54.3,0,,RPURMLSKIIGGFBB08DA,120.2,22.1,0.0,有,
北區,房地(土地+建物),臺中市北區忠太東路１１９號地下一樓之１１,6.28,都市：其他:第三種住宅區。,,,1101008,土地1建物1車位0,地下一層,二十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840607,73.47999999999999,0,0,0,無,有,2780000,37833,,0.0,0,,RPQPMLTKIIGGFBB57DA,45.01,0.0,0.0,有,0163
北區,房地(土地+建物),臺中市北區北屯路２２之２號４樓之１,7.94,都市：其他:第一種商業區,,,1100929,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680109,45.29,1,1,1,有,有,3150000,69552,,0.0,0,,RPVPMLTKIIGGFBB08DA,40.6,4.69,0.0,有,0164
北區,房地(土地+建物),臺中市北區梅亭東街４６號,29.0,都市：其他:第二種住宅區,,,1100915,土地1建物1車位0,一層，二層，騎樓,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0740810,98.67,2,2,2,有,無,9600000,97294,,0.0,0,陽台外推；,RPTPMLRJIIGGFBB57DA,86.41,5.5,0.0,無,
北屯區,房地(土地+建物),臺中市北屯區松明街１４７巷３號,65.0,都市：其他:第二種住宅區,,,1100915,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0720622,96.72,5,2,2,有,無,10260000,106079,,0.0,0,其他增建；,RPRNMLTJIIGGFBB37DA,90.92,5.8,0.0,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路二段３４巷３２號９樓,20.53,都市：其他:第二種住宅區,,,1101006,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821220,150.89000000000001,3,2,2,有,有,8180000,54212,坡道平面,0.0,0,,RPTOMLMKIIGGFBB07DA,96.24,12.13,0.0,有,0165
