鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
淡水區,房地(土地+建物)+車位,新北市淡水區八勢路５０巷８１號十九樓,91.07,都市：其他:住宅區(一),,,1100930,土地1建物1車位3,十九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1070521,376.51,4,2,3,有,有,38000000,121817,坡道平面,113.82,6000000,,RPPRMLSLIIGGFEF38DA,155.58,17.83,0.0,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新春街６５巷５１號八樓,24.03,都市：其他:住宅區,,,1101010,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041029,143.67000000000002,2,2,1,有,有,8550000,59511,坡道平面,41.32,0,,RPPQMLSLIIGGFEF28DA,59.98,9.94,0.0,有,0395
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路３８巷２９號二十樓,13.04,都市：其他:住宅區(三),,,1101010,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980218,146.91,2,2,2,有,有,12600000,95915,坡道平面,30.14,1400000,陽台外推；,RPROMLNLIIGGFEF77DA,64.7,17.27,0.0,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路一段８６號二樓,19.52,都市：其他:第五種住宅區,,,1100925,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061128,147.01,2,1,1,有,有,8200000,55779,坡道平面,37.86,0,,RPQQMLNJJIGGFEF77DA,59.67,6.3,0.0,有,0396
八里區,房地(土地+建物)+車位,新北市八里區中華路二段２５８巷２０號,19.09,都市：其他:第三種住宅區。,,,1101005,土地2建物1車位1,一層,八層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820111,135.3,3,2,2,有,有,6500000,48041,坡道平面,0.0,0,其他增建；,RPPRMLMJJIGGFEF67DA,83.81,4.9,0.0,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段２０８號二十樓,7.66,都市：其他:第三之一種中心商業區,,,1101107,土地1建物1車位1,二十層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,101.66,2,2,1,有,有,6200000,60988,坡道機械,15.42,0,,RPWOMLPKJIGGFEF48DA,50.59,8.33,0.0,有,0397
淡水區,房地(土地+建物)+車位,新北市淡水區新民街１０６巷１號七樓,51.41,都市：其他:住宅區,,,1101029,土地2建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970818,197.39,4,2,2,有,有,13800000,69912,坡道平面,32.28,0,,RPOPMLPKJIGGFEF77DA,110.86,14.83,0.0,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路二段８６號三樓,17.41,都市：其他:第五之一種住宅區,,,1101104,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031126,125.91,2,2,1,有,有,7200000,57184,坡道平面,32.84,0,,RPWPMLPKJIGGFEF58DA,57.69,7.87,0.0,有,0398
淡水區,房地(土地+建物),新北市淡水區新春街１１９號十二樓,19.09,都市：其他:住宅區,,,1101004,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830531,122.14,3,2,2,有,有,5150000,42165,,0.0,0,,RPQOMLLKJIGGFEF47DA,84.29,11.68,0.0,有,
淡水區,房地(土地+建物)+車位,新北市淡水區紅樹林路１５７號五樓,16.07,都市：其他:住宅區(二),,,1101011,土地1建物1車位1,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060118,110.85,2,1,1,有,有,10300000,92918,坡道平面,18.15,0,,RPWOMLMKJIGGFEF18DA,53.75,9.71,0.0,有,0399
