鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
士林區,房地(土地+建物),臺北市士林區社子街６５號四樓,23.75,都市：其他:第三種住宅區。,,,1100904,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640410,62.06,2,1,1,有,無,7500000,120851,,0.0,0,頂樓加蓋；,RPPOMLPKJIGGFEA27DA,62.06,0.0,0.0,無,
士林區,房地(土地+建物),臺北市士林區忠義街３４號五樓,35.2,都市：其他:第三種住宅區。,,,1101016,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730615,127.81,3,2,2,有,無,18600000,145529,,0.0,0,頂樓加蓋；,RPPPMLPKJIGGFEA37DA,111.15,8.66,0.0,無,
大安區,房地(土地+建物),臺北市大安區仁愛路三段１１８巷１２弄４號五樓,26.0,都市：其他:第三種住宅區。,,,1101003,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730120,110.84,3,2,2,有,有,36210000,326687,,0.0,0,陽台外推；,RPPNMLQKIIGGFFA27DA,87.68,17.98,0.0,有,
大安區,房地(土地+建物),臺北市大安區忠孝東路四段２６巷７號二樓,19.0,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第貳種商業區)。,,,1100819,土地5建物1車位0,二層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0720726,117.9,3,2,2,有,無,34600000,293469,,0.0,0,其他增建；,RPPPMLQKRHGGFFA28DA,89.15,19.63,0.0,有,164
大安區,房地(土地+建物),臺北市大安區復興南路一段１０３號五樓之２,5.71,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100922,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0661103,61.45,1,2,1,有,有,17880000,290968,,0.0,0,陽台外推；其他增建；,RPPNMLTJJIGGFFA57DA,45.36,7.24,0.0,有,165
中正區,房地(土地+建物),臺北市中正區中華路二段４４１巷１０號二樓之１,28.38,都市：其他:第三種住宅區。,,,1101005,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610207,76.46,2,0,0,有,無,10040000,131310,,0.0,0,,RPSNMLMKIIGGFAA76EA,76.46,0.0,0.0,無,
中正區,房地(土地+建物),臺北市中正區中華路二段４４１巷１０號二樓,28.38,都市：其他:第三種住宅區。,,,1101005,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610207,81.91,2,1,1,有,無,10760000,131364,,0.0,0,,SPSNMLMKIIGGFAA86EA,81.91,0.0,0.0,無,
文山區,房地(土地+建物),臺北市文山區福興路４６巷２弄１６號,25.5,都市：其他:第三種住宅區。,,,1101007,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,53.45,2,1,1,有,無,9000000,168382,,0.0,0,,RPUNMLPKJIGGFAA37EA,53.45,0.0,0.0,無,
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路四段６８號六樓,6.84,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100930,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0941229,124.91,0,1,1,有,有,22750000,274490,坡道平面,54.78,3500000,陽台外推；,RPPOMLPKJIGGFAA96EA,41.25,6.84,0.0,有,166
文山區,車位,臺北市文山區樟新街５６巷１０號房屋地下一層,2.4,都市：其他:第三種住宅區。,,,1101109,土地1建物1車位1,地下層,八層,其他,見使用執照,鋼筋混凝土造,0810811,12.11,0,0,0,有,有,950000,,坡道機械,0.0,950000,僅車位交易；,RPQOMLPKJIGGFAA07EA,0.0,0.0,0.0,有,
大安區,房地(土地+建物)+車位,臺北市大安區敦南街５７號九樓,61.9,都市：其他:第三種住宅區。,,,1101021,土地1建物1車位2,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0920116,310.89,3,2,3,有,有,86000000,276625,坡道機械,15.21,0,,RPPPMLMKJIGGFFA17DA,183.89,20.85,0.0,有,
中正區,房地(土地+建物),臺北市中正區晉江街７５號四樓,17.73,都市：其他:第三種住宅區。,,,1101015,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021023,77.67999999999999,1,1,1,有,無,19000000,244593,,0.0,0,,RPRNMLRKJIGGFAA27EA,43.08,7.4,0.0,有,
大同區,房地(土地+建物),臺北市大同區大龍街１０２號,15.89,都市：其他:第一種商業區。,,,1101101,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0640723,55.03,2,1,1,有,無,4000000,72688,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPPNMLPKJIGGFBA96EA,45.57,0.0,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區和平西路三段３０９巷１５弄５號三樓,12.35,都市：其他:第四之一種住宅區。,,,1101019,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660128,67.39,2,1,1,有,無,6800000,100905,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLPKJIGGFBA47EA,58.61,8.78,0.0,無,167
